STATION_ID,STATION,ELEV_FT,LATITUDE,LONGITUDE,COUNTY,RIVER BASIN
MB3,MIDDLE BOULDER 3,6200,41.224838,-122.80616,SISKIYOU,SCOTT R
SCT,SCOTT MOUNTAIN,5900,41.272202,-122.719482,SISKIYOU,SCOTT R
PET,PETERSON FLAT,7150,41.302219,-122.527779,TRINITY,TRINITY R
RRM,RED ROCK MOUNTAIN,6700,41.023621,-122.886627,TRINITY,TRINITY R
BNK,BONANZA KING,6450,41.083118,-122.631271,TRINITY,TRINITY R
SHM,SHIMMY LAKE,6400,41.005299,-122.801598,TRINITY,TRINITY R
HIG,HIGHLAND LAKES,6030,41.091782,-122.491562,TRINITY,TRINITY R
MUM,MUMBO BASIN,5650,41.197819,-122.525963,TRINITY,TRINITY R
BFL,BIG FLAT,5100,41.077599,-122.94223,TRINITY,TRINITY R
CWF,CROWDER FLAT,5100,41.893398,-120.7519,MODOC,KLAMATH R
SDF,SAND FLAT,6750,41.350239,-122.246529,SISKIYOU,SACRAMENTO R
SLT,SLATE CREEK,5700,41.04398,-122.480103,SHASTA,SACRAMENTO R
STM,STOUTS MEADOW,5400,41.16914,-121.939827,SHASTA,MC CLOUD R
CDP,CEDAR PASS,7100,41.583,-120.303001,MODOC,PIT R
BLA,BLACKS MOUNTAIN,7050,40.76984,-121.199783,LASSEN,PIT R
MED,MEDICINE LAKE,6700,41.591389,-121.610832,SISKIYOU,PIT R
ADM,ADIN MOUNTAIN,6200,41.237,-120.792,MODOC,PIT R
SNM,SNOW MOUNTAIN,5950,40.778809,-121.782677,SHASTA,PIT R
LLP,LOWER LASSEN PEAK,8338,40.466602,-121.50811,SHASTA,FEATHER R
KTL,KETTLE ROCK,7300,40.139999,-120.714996,PLUMAS,FEATHER R
GRZ,GRIZZLY RIDGE,6900,39.917,-120.644997,PLUMAS,FEATHER R
PLP,PILOT PEAK (DWR),6800,39.785892,-120.877777,PLUMAS,FEATHER R
GOL,GOLD LAKE,6750,39.674767,-120.617165,SIERRA,FEATHER R
HMB,HUMBUG,6500,40.115002,-121.367996,PLUMAS,FEATHER R
HRK,HARKNESS FLAT,6200,40.417999,-121.275002,LASSEN,FEATHER R
RTL,RATTLESNAKE,6210,40.127911,-121.043968,PLUMAS,FEATHER R
BKL,BUCKS LAKE,5873,39.852921,-121.25135,PLUMAS,FEATHER R
FOR,FOUR TREES,5202,39.812778,-121.321678,PLUMAS,FEATHER R
NLS,NOEL SPRING,5100,39.537998,-122.667,GLENN,STONY CR
MDW,MEADOW LAKE,7200,39.405663,-120.506058,NEVADA,YUBA R
CSL,CENT SIERRA SNOW LAB,6900,39.325001,-120.366997,NEVADA,YUBA R
SCN,SCHNEIDERS,8750,38.747002,-120.068001,EL DORADO,AMERICAN R
LOS,LAKE LOIS,8600,38.921036,-120.204445,EL DORADO,AMERICAN R
CXS,CARSON PASS,8353,38.692402,-120.002098,ALPINE,AMERICAN R
CAP,CAPLES LAKE,8000,38.710793,-120.04158,ALPINE,AMERICAN R
ALP,ALPHA (SMUD),7600,38.804192,-120.215652,EL DORADO,AMERICAN R
FRN,FORNI RIDGE,7600,38.80397,-120.215919,EL DORADO,AMERICAN R
SIL,SILVER LAKE,7100,38.679604,-120.118195,EL DORADO,AMERICAN R
VVL,VAN VLECK,6700,38.943947,-120.306061,EL DORADO,AMERICAN R
RCC,ROBINSON COW CAMP,6480,39.621864,-120.679871,SIERRA,YUBA R
SSM,SUNNYSIDE MEADOW,6300,39.698132,-120.782211,SIERRA,YUBA R
HYS,HUYSINK,6600,39.281422,-120.529633,PLACER,AMERICAN R
RBB,ROBBS SADDLE,5900,38.911533,-120.379295,EL DORADO,AMERICAN R
GKS,GREEK STORE,5600,39.07468,-120.5616,PLACER,AMERICAN R
BLC,BLUE CANYON,5280,39.280098,-120.708694,PLACER,AMERICAN R
RBP,ROBBS POWERHOUSE,5150,38.902382,-120.376541,EL DORADO,AMERICAN R
DDM,DEADMAN CREEK,9250,38.331596,-119.654114,TUOLUMNE,STANISLAUS R
HHM,HIGHLAND MEADOW,8700,38.490662,-119.805626,ALPINE,MOKELUMNE R
GNL,GIANELLI MEADOW,8400,38.204308,-119.893188,TUOLUMNE,STANISLAUS R
REL,LOWER RELIEF VALLEY,8100,38.242916,-119.762917,TUOLUMNE,STANISLAUS R
BLK,BLUE LAKES,8000,38.612999,-119.931,ALPINE,MOKELUMNE R
SLM,STANISLAUS MEADOW,7750,38.505501,-119.937302,ALPINE,STANISLAUS R
BLD,BLOODS CREEK,7200,38.451256,-120.034882,ALPINE,STANISLAUS R
BLS,BLACK SPRINGS,6500,38.375881,-120.195,CALAVERAS,STANISLAUS R
DAN,DANA MEADOWS,9800,37.89616,-119.257263,TUOLUMNE,TUOLUMNE R
SLI,SLIDE CANYON,9200,38.091232,-119.431885,TUOLUMNE,TUOLUMNE R
TNY,TENAYA LAKE,8150,37.837582,-119.449875,MARIPOSA,MERCED R
TUM,TUOLUMNE MEADOWS,8600,37.876408,-119.348099,TUOLUMNE,TUOLUMNE R
HRS,HORSE MEADOW,8400,38.158001,-119.662003,TUOLUMNE,TUOLUMNE R
STR,OSTRANDER LAKE,8200,37.636608,-119.553329,MARIPOSA,MERCED R
WHW,WHITE WOLF,7900,37.859444,-119.651604,TUOLUMNE,TUOLUMNE R
PDS,PARADISE MEADOW,7650,38.046116,-119.671745,TUOLUMNE,TUOLUMNE R
GIN,GIN FLAT,7050,37.766888,-119.77491,MARIPOSA,MERCED R
KIB,LOWER KIBBIE RIDGE,6700,38.033024,-119.879242,TUOLUMNE,TUOLUMNE R
VLC,VOLCANIC KNOB,10050,37.387859,-118.905037,FRESNO,SAN JOAQUIN R
AGP,AGNEW PASS,9450,37.726631,-119.141731,MADERA,SAN JOAQUIN R
KSP,KAISER POINT,9200,37.29818,-119.103371,FRESNO,SAN JOAQUIN R
GRM,GREEN MOUNTAIN,7900,37.549599,-119.232559,MADERA,SAN JOAQUIN R
DPO,DEVILS POSTPILE,7569,37.62941,-119.084671,MADERA,SAN JOAQUIN R
TMR,TAMARACK SUMMIT,7550,37.16375,-119.200531,FRESNO,SAN JOAQUIN R
CHM,CHILKOOT MEADOW,7150,37.40839,-119.492188,MADERA,SAN JOAQUIN R
HNT,HUNTINGTON LAKE (USBR),7000,37.22757,-119.220482,FRESNO,SAN JOAQUIN R
GRV,GRAVEYARD MEADOW,6900,37.46344,-119.292892,MADERA,SAN JOAQUIN R
PSR,POISON RIDGE,6900,37.402821,-119.520813,MADERA,SAN JOAQUIN R
BSH,BISHOP PASS,11200,37.099998,-118.556999,FRESNO,KINGS R
CRL,CHARLOTTE LAKE,10400,36.777523,-118.42601,FRESNO,KINGS R
STL,STATE LAKES,10300,36.926998,-118.573997,FRESNO,KINGS R
MTM,MITCHELL MEADOW,9900,36.737,-118.711998,TULARE,KINGS R
BCB,BLACKCAP BASIN,10300,37.066685,-118.77301,FRESNO,KINGS R
UBC,UPPER BURNT CORRAL,9700,37.183296,-118.938293,FRESNO,KINGS R
WWC,WEST WOODCHUCK MEADOW,9100,37.029999,-118.917999,FRESNO,KINGS R
KUB,UPPER BULL,8073,36.9669,-119.056602,FRESNO,KINGS R
BIM,BIG MEADOWS (DWR),7600,36.715225,-118.843773,TULARE,KINGS R
KUP,UPPER PROVIDENCE,5611,37.061001,-119.182999,FRESNO,KINGS R
FRW,FAREWELL GAP,9500,36.415211,-118.578979,TULARE,KAWEAH R
QUA,QUAKING ASPEN,7200,36.117508,-118.539993,TULARE,TULE R
GNF,GIANT FOREST (USACE),6650,36.562,-118.764999,TULARE,KAWEAH R
UTY,UPPER TYNDALL CREEK,11400,36.650002,-118.397003,TULARE,KERN R
CBT,CRABTREE MEADOW,10700,36.563683,-118.347946,TULARE,KERN R
CHP,CHAGOOPA PLATEAU,10300,36.497143,-118.446716,TULARE,KERN R
PSC,PASCOES,9150,35.966999,-118.349998,TULARE,KERN R
TUN,TUNNEL GUARD STATION,8900,36.366348,-118.289116,TULARE,KERN R
WTM,WET MEADOWS,8950,36.348,-118.571999,TULARE,KERN R
CSV,CASA VIEJA MEADOWS,8300,36.198097,-118.267685,TULARE,KERN R
BCH,BEACH MEADOWS,7650,36.126095,-118.293457,TULARE,KERN R
DSS,DISMAL SWAMP,7050,41.993,-120.165001,MODOC,SURPRISE VALLEY
MSK,MOUNT ROSE SKI AREA,8900,39.326,-119.902,State of Nevada,LAKE TAHOE
IDP,INDEPENDENCE LAKE (SCS),8450,39.435001,-120.321999,NEVADA,TRUCKEE R
BMW,BIG MEADOWS (SCS),8700,39.458,-119.945999,State of Nevada,TRUCKEE R
SQV,PALISADES TAHOE SNOTEL,8200,39.194,-120.276001,PLACER,TRUCKEE R
IDC,INDEPENDENCE CAMP,7000,39.452587,-120.298546,SIERRA,TRUCKEE R
INN,INDEPENDENCE CREEK,6500,39.493999,-120.292999,SIERRA,TRUCKEE R
TK2,TRUCKEE 2,6400,39.299999,-120.194,PLACER,TRUCKEE R
HVN,HEAVENLY VALLEY,8800,38.929001,-119.917,EL DORADO,LAKE TAHOE
HGM,HAGANS MEADOW,8000,38.853001,-119.940002,EL DORADO,LAKE TAHOE
MRL,MARLETTE LAKE,8000,39.173,-119.904999,State of Nevada,LAKE TAHOE
EP5,ECHO PEAK 5,7800,38.848999,-120.079002,EL DORADO,LAKE TAHOE
RP2,RUBICON PEAK 2,7500,39.000999,-120.139999,EL DORADO,LAKE TAHOE
TCC,TAHOE CITY CROSS,6750,39.17144,-120.154655,PLACER,LAKE TAHOE
WC3,WARD CREEK 3,6750,39.135574,-120.218681,PLACER,LAKE TAHOE
FLL,FALLEN LEAF LAKE,6250,38.931999,-120.056,EL DORADO,LAKE TAHOE
EBB,EBBETTS PASS,8700,38.561001,-119.807999,ALPINE,CARSON R
HOR,HORSE MEADOW (NRCS),8557,38.836498,-119.887299,ALPINE,CARSON R
BSK,BURNSIDE LAKE,8129,38.719398,-119.894203,ALPINE,CARSON R
FDC,FORESTDALE CREEK,8017,38.6824,-119.959702,ALPINE,CARSON R
PSN,POISON FLAT,7900,38.500999,-119.630997,ALPINE,CARSON R
MNT,MONITOR PASS,8350,38.669998,-119.614998,ALPINE,CARSON R
SPT,SPRATT CREEK,6150,38.666271,-119.817421,ALPINE,CARSON R
LVT,LEAVITT LAKE,9600,38.282001,-119.621002,MONO,WALKER R
SDW,SUMMIT MEADOW,9313,38.397499,-119.535599,MONO,WALKER R
VRG,VIRGINIA LAKES RIDGE,9300,38.077,-119.234001,MONO,WALKER R
LBD,LOBDELL LAKE,9200,38.439999,-119.376999,MONO,WALKER R
SPS,SONORA PASS BRIDGE,8750,38.318001,-119.600998,MONO,WALKER R
LVM,LEAVITT MEADOWS,7200,38.305,-119.552002,MONO,WALKER R
GEM,GEM PASS,10750,37.779999,-119.169998,MONO,MONO LAKE
SWM,SAWMILL,10200,37.161964,-118.562592,INYO,OWENS R
CWD,COTTONWOOD LAKES,10150,36.483829,-118.177559,INYO,OWENS R
BGP,BIG PINE CREEK,9800,37.127815,-118.476967,INYO,OWENS R
SLK,SOUTH LAKE,9600,37.175903,-118.56266,INYO,OWENS R
MHP,MAMMOTH PASS (USBR),9300,37.6124,-119.031746,MONO,OWENS R
RCK,ROCK CREEK LAKES,9700,37.457275,-118.735023,INYO,OWENS R
